session_id,url,load_time (ms),region,L1 (ms),L2 (ms),L3 (ms),ap-south-1 (w/o cache),ap-south-1 (w cache),w/o cache,w cache,diff w/o cache (Ter-Loc),diff w cache (Ter-Loc)
75773a4e35745992f843afdf2e1e3a4703eac21b,https://cdns.us1.gigya.com/gs/webSdk/Api.aspx?apiKey=3_ngHxa82XZCJZqdfvdMmu4109zZZvsdubGrxrNBmq4AcerVts7IJiD9j9adlsYypj&version=latest#origin=https://q.generalmillscf.com/browse-recipes/season/spring&gig_loggerConfig=%7B%22logLevel%22%3A0%2C%22clientMuteLevel%22%3A0%2C%22logTheme%22%3A1%7D,624.3050833336383,ap-south-1,192,65,86,720,146,local,local,528,70.5
75773a4e35745992f843afdf2e1e3a4703eac21b,https://www.youtube.com/embed/rDH_7Fb_sf4?showinfo=0&wmode=transparent&rel=0&enablejsapi=1&origin=https://q.generalmillscf.com,326.77775000047404,ap-south-1,866,637,841,2314,1483,local,local,1448,744
59a85e5555a87d0328e684f84e1750f1243fcb93,https://cdns.us1.gigya.com/gs/webSdk/Api.aspx?apiKey=3_ngHxa82XZCJZqdfvdMmu4109zZZvsdubGrxrNBmq4AcerVts7IJiD9j9adlsYypj&version=latest#origin=https://q.generalmillscf.com/resources/videos/bakeries-today-making-your-bakery-a-destination&gig_loggerConfig=%7B%22logLevel%22%3A0%2C%22clientMuteLevel%22%3A0%2C%22logTheme%22%3A1%7D,524.4387499988079,ap-south-1,87,66,91,329,149,local,local,242,70.5
59a85e5555a87d0328e684f84e1750f1243fcb93,https://www.youtube.com/embed/NftaTfSkUvU?showinfo=0&wmode=transparent&rel=0&enablejsapi=1&origin=https://q.generalmillscf.com,244.46120833454188,ap-south-1,801,817,612,1859,1508,local,local,1058,793.5
59a85e5555a87d0328e684f84e1750f1243fcb93,https://www.youtube.com/embed/dt2_3HVFONc?showinfo=0&wmode=transparent&rel=0&enablejsapi=1&origin=https://q.generalmillscf.com,280.3297916689189,ap-south-1,973,650,737,1624,1555,local,local,651,861.5
9af0b715933828591a4b8cd75554d78cd5fed56b,https://www.google.co.in/search?q=fancybox&ie=UTF-8&oe=UTF-8&hl=en-in&client=safari,224.13824999998155,ap-south-1,2609,701,634,2274,1342,browserstack,local,-335,674.5
3c01a7331c9a05ce0cff62e34adb63558cb1b34c,http://marque.s801.sureserver.com/,1025.473375,ap-south-1,12428,586,570,8513,2585,browserstack,local,-3915,2007
6cdc19850a8eaa8616ff518a01cd8f4888ed45c2,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,359.8835417,ap-south-1,289,376,326,443,134,local,browserstack,154,-217
7fd7f0a26d343783f417d5119fd1563589a51689,http://motorhomesuk.s801.sureserver.com/,1308.094708,ap-south-1,6521,1984,2305,8247,3555,local,local,1726,1410.5
7f7179abf35ef8b052f35615fac4c963d5384f20,http://motorhomesuk.s801.sureserver.com/motorhome/swiftedge-464/,824.6924583,ap-south-1,7878,3028,2772,7620,3960,browserstack,local,-258,1060
16d36127bc5f16872f7d29f9273806d1602006d7,https://tastepoint-uk.sid2-e1.investis.com/about/tastepoint-difference,36409.32704,ap-south-1,810,567,1145,1842,1298,local,local,1032,442
16d36127bc5f16872f7d29f9273806d1602006d7,https://www.youtube.com/embed/zDvLQAvFDLw?autoplay=0&showinfo=0&controls=0&rel=0&loop=0,370.1336667,ap-south-1,1120,920,659,1644,865,local,local,524,75.5
cd2d882d001938fae6e6c4cde131691ebcdacfec,https://getrobux.ninja/,788.505375,ap-south-1,953,187,184,1416,671,local,local,463,485.5
ed77763eb44d908e546e5cf926b30e422e75398a,https://preview.hs-sites.com/_hcms/preview/template/multi?is_buffered_template_layout=true&portalId=428371&tc_deviceCategory=undefined&template_layout_id=23269033013&updated=1576243581050#two-1,923.2865,ap-south-1,4924,1621,2066,5658,2802,local,local,734,958.5
db672c2c90d977f8ed692776c54431e8ff1bccc4,https://rcgeeks.myshopify.com/blogs/news/3racing-sakura-fgx2018-rc-f1-car-build-blog,743.6434583,ap-south-1,1093,1071,1232,1665,583,local,browserstack,572,-568.5
db672c2c90d977f8ed692776c54431e8ff1bccc4,https://disqus.com/embed/comments/?base=default&f=rcgeeks&t_i=article-383731007587&t_u=https%3A%2F%2Frcgeeks.myshopify.com%2Fblogs%2Fnews%2F3racing-sakura-fgx2018-rc-f1-car-build-blog&t_d=3Racing%20Sakura%20FGX2018%20RC%20F1%20Car%20build%20blog&t_t=3Racing%20Sakura%20FGX2018%20RC%20F1%20Car%20build%20blog&s_o=default#version=d10b9247634124291c69806c0c703522,366.42325,ap-south-1,809,555,534,886,308,local,browserstack,77,-236.5
db672c2c90d977f8ed692776c54431e8ff1bccc4,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44#channel=f155a7c4cc4bca&origin=https%3A%2F%2Fdisqus.com,95.453,ap-south-1,242,59,57,422,135,local,local,180,77
db672c2c90d977f8ed692776c54431e8ff1bccc4,https://accounts.google.com/o/oauth2/iframe#origin=https%3A%2F%2Fdisqus.com&rpcToken=424838620.47380865&clearCache=1,207.9015,ap-south-1,347,124,128,305,206,browserstack,local,-42,80
651829722aa6a038602634d93a04e121e1945a60,https://accounts.google.com/o/oauth2/iframe#origin=https%3A%2F%2Fdisqus.com&rpcToken=693529218.6661603&clearCache=1,207.6862917,ap-south-1,271,128,132,245,199,browserstack,local,-26,69
aea9e4412c53a226ab06b3f4069465d8e2e2a30d,https://rcgeeks.myshopify.com/?fts=0&key=562594999fab619e002761a534e0bb31a009d7bd4b1f5035cb1edad75a4c9d9c,1794.529042,ap-south-1,6306,2272,2088,10268,2969,local,local,3962,789
43bb132c8f684ddbeee1c7abf335dbf24cd51e33,https://www.scalpcarolinas.com/,1674.623042,ap-south-1,6178,1902,1314,6673,2462,local,local,495,854
efd4f343f3e18441939bd0aa7f8c9088ffd45ed5,https://calendar.google.com/calendar/embed?src=hpdelray@gmail.com&ctz=America/New_York,1995.388292,ap-south-1,1843,2166,828,2004,960,local,browserstack,161,-537
efd4f343f3e18441939bd0aa7f8c9088ffd45ed5,https://clients6.google.com/static/proxy.html?usegapi=1&jsh=m%3B%2F_%2Fscs%2Fapps-static%2F_%2Fjs%2Fk%3Doz.gapi.en_US.sMn3oj1Y3cA.O%2Fam%3DAQc%2Fd%3D1%2Fct%3Dzgms%2Frs%3DAGLTcCMtH3dgjriX481Rb7quselpe-HGkQ%2Fm%3D__features__#parent=https%3A%2F%2Fcalendar.google.com&rpctoken=598507854,149.9432917,ap-south-1,418,238,279,366,278,browserstack,local,-52,19.5
cb0748d2571f37ba9e17c3eed96bd7c04b9adf13,https://s7.addthis.com/static/sh.f48a1a04fe8dbf021b4cda1d.html#rand=0.4276551319812114&iit=1576345416362&tmr=load%3D1576345416196%26core%3D1576345416215%26main%3D1576345416359%26ifr%3D1576345416364&cb=0&cdn=0&md=0&kw=&ab=-&dh=vacationrentalsonlaketahoe.com&dr=&du=https%3A%2F%2Fvacationrentalsonlaketahoe.com%2Ftahoe-luxury-home%2F&href=https%3A%2F%2Fvacationrentalsonlaketahoe.com%2Ftahoe-luxury-home%2F&dt=Tahoe%20Luxury%20Home%20%7C%20Tahoe%20Wolfpack%20Lodge%20Nevada%20USA&dbg=0&cap=tc%3D0%26ab%3D0&inst=1&jsl=1&prod=undefined&lng=en&ogt=height%2Cwidth%2Csecure_url%2Cimage%2Csite_name%2Curl%2Cdescription%2Ctype%3Darticle&pc=wpp&pub=ra-5de626f9dd10de39&ssl=1&sid=5df51f481cc2b729&srf=0.01&ver=300&xck=0&xtr=0&og=locale%3Den_US%26type%3Darticle%26title%3DTahoe%2520Luxury%2520Home%2520%257C%2520Tahoe%2520Wolfpack%2520Lodge%2520Nevada%2520USA%26description%3DTahoe%2520Wolfpack%2520Lodge%2520-%2520Beautiful%25203%2520Bedroom%2520Tahoe%2520Luxury%2520Home%2520in%2520the%2520Gated%2520Elk%2520Point%2520Country%2520Club%2520with%2520Private%2520access%2520to%2520Sandy%2520Beach.%2520Book%2520your%2520stay%2520now!%26url%3Dhttps%253A%252F%252Fvacationrentalsonlaketahoe.com%252Ftahoe-luxury-home%252F%26site_name%3DTahoe%2520Wolfpack%2520Lodge%26image%3Dhttps%253A%252F%252Fvacationrentalsonlaketahoe.com%252Fwp-content%252Fuploads%252F2019%252F08%252Ftahoe-header-bg-3-1024x624.jpg%26secure_url%3Dhttps%253A%252F%252Fvacationrentalsonlaketahoe.com%252Fwp-content%252Fuploads%252F2019%252F08%252Ftahoe-header-bg-3-1024x624.jpg%26width%3D1024%26height%3D624&csi=undefined&rev=v8.28.1-wp&ct=1&xld=1&xd=1,91.0405,ap-south-1,137,65,72,265,170,local,local,128,101.5
577c34c62a23b83ae5a2f3b4a310941d109efec6,https://yogavivo.dk/preferences#,2937.159167,ap-south-1,5253,3101,3011,6832,3405,local,local,1579,349
577c34c62a23b83ae5a2f3b4a310941d109efec6,https://yogavivo.dk/login/,1218.91725,ap-south-1,3046,3164,2488,4237,3632,local,local,1191,806
